"DATE_NAME","GEOGRAPHY_NAME","CELL_NAME","OBS_VALUE"
"Apr 2010-Mar 2011","Glasgow City","T01:22 (Aged 16-64 - All : All People )",402400
"Apr 2010-Mar 2011","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2426800
"Apr 2010-Mar 2011","Scotland","T01:22 (Aged 16-64 - All : All People )",3417800
"Jul 2010-Jun 2011","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",247100
"Jul 2010-Jun 2011","Glasgow City","T01:22 (Aged 16-64 - All : All People )",402700
"Jul 2010-Jun 2011","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2425500
"Jul 2010-Jun 2011","Scotland","T01:22 (Aged 16-64 - All : All People )",3423100
"Oct 2010-Sep 2011","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",252200
"Oct 2010-Sep 2011","Glasgow City","T01:22 (Aged 16-64 - All : All People )",404800
"Oct 2010-Sep 2011","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2417600
"Oct 2010-Sep 2011","Scotland","T01:22 (Aged 16-64 - All : All People )",3428400
"Jan 2011-Dec 2011","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",255700
"Jan 2011-Dec 2011","Glasgow City","T01:22 (Aged 16-64 - All : All People )",405600
"Jan 2011-Dec 2011","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2420200
"Jan 2011-Dec 2011","Scotland","T01:22 (Aged 16-64 - All : All People )",3434100
"Apr 2011-Mar 2012","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",254800
"Apr 2011-Mar 2012","Glasgow City","T01:22 (Aged 16-64 - All : All People )",406300
"Apr 2011-Mar 2012","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2416200
"Apr 2011-Mar 2012","Scotland","T01:22 (Aged 16-64 - All : All People )",3430700
"Jul 2011-Jun 2012","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",253700
"Jul 2011-Jun 2012","Glasgow City","T01:22 (Aged 16-64 - All : All People )",406500
"Jul 2011-Jun 2012","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2423100
"Jul 2011-Jun 2012","Scotland","T01:22 (Aged 16-64 - All : All People )",3427100
"Oct 2011-Sep 2012","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",249700
"Oct 2011-Sep 2012","Glasgow City","T01:22 (Aged 16-64 - All : All People )",406600
"Oct 2011-Sep 2012","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2418300
"Oct 2011-Sep 2012","Scotland","T01:22 (Aged 16-64 - All : All People )",3424000
"Jan 2012-Dec 2012","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",238000
"Jan 2012-Dec 2012","Glasgow City","T01:22 (Aged 16-64 - All : All People )",405900
"Jan 2012-Dec 2012","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2412400
"Jan 2012-Dec 2012","Scotland","T01:22 (Aged 16-64 - All : All People )",3420100
"Apr 2012-Mar 2013","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",237000
"Apr 2012-Mar 2013","Glasgow City","T01:22 (Aged 16-64 - All : All People )",406700
"Apr 2012-Mar 2013","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2413900
"Apr 2012-Mar 2013","Scotland","T01:22 (Aged 16-64 - All : All People )",3419200
"Jul 2012-Jun 2013","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",238800
"Jul 2012-Jun 2013","Glasgow City","T01:22 (Aged 16-64 - All : All People )",406000
"Jul 2012-Jun 2013","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2406800
"Jul 2012-Jun 2013","Scotland","T01:22 (Aged 16-64 - All : All People )",3417800
"Oct 2012-Sep 2013","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",244200
"Oct 2012-Sep 2013","Glasgow City","T01:22 (Aged 16-64 - All : All People )",407100
"Oct 2012-Sep 2013","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2409800
"Oct 2012-Sep 2013","Scotland","T01:22 (Aged 16-64 - All : All People )",3417000
"Jan 2013-Dec 2013","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",254600
"Jan 2013-Dec 2013","Glasgow City","T01:22 (Aged 16-64 - All : All People )",407100
"Jan 2013-Dec 2013","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2418800
"Jan 2013-Dec 2013","Scotland","T01:22 (Aged 16-64 - All : All People )",3416300
"Apr 2013-Mar 2014","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",259500
"Apr 2013-Mar 2014","Glasgow City","T01:22 (Aged 16-64 - All : All People )",405700
"Apr 2013-Mar 2014","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2435900
"Apr 2013-Mar 2014","Scotland","T01:22 (Aged 16-64 - All : All People )",3415300
"Jul 2013-Jun 2014","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",261100
"Jul 2013-Jun 2014","Glasgow City","T01:22 (Aged 16-64 - All : All People )",404600
"Jul 2013-Jun 2014","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2451800
"Jul 2013-Jun 2014","Scotland","T01:22 (Aged 16-64 - All : All People )",3415400
"Oct 2013-Sep 2014","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",262500
"Oct 2013-Sep 2014","Glasgow City","T01:22 (Aged 16-64 - All : All People )",404800
"Oct 2013-Sep 2014","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2467900
"Oct 2013-Sep 2014","Scotland","T01:22 (Aged 16-64 - All : All People )",3415500
"Jan 2014-Dec 2014","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",260600
"Jan 2014-Dec 2014","Glasgow City","T01:22 (Aged 16-64 - All : All People )",405800
"Jan 2014-Dec 2014","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2478000
"Jan 2014-Dec 2014","Scotland","T01:22 (Aged 16-64 - All : All People )",3414600
"Apr 2014-Mar 2015","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",267500
"Apr 2014-Mar 2015","Glasgow City","T01:22 (Aged 16-64 - All : All People )",407400
"Apr 2014-Mar 2015","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2490400
"Apr 2014-Mar 2015","Scotland","T01:22 (Aged 16-64 - All : All People )",3417300
"Jul 2014-Jun 2015","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",266000
"Jul 2014-Jun 2015","Glasgow City","T01:22 (Aged 16-64 - All : All People )",411400
"Jul 2014-Jun 2015","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2492000
"Jul 2014-Jun 2015","Scotland","T01:22 (Aged 16-64 - All : All People )",3419700
"Oct 2014-Sep 2015","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",275600
"Oct 2014-Sep 2015","Glasgow City","T01:22 (Aged 16-64 - All : All People )",411900
"Oct 2014-Sep 2015","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2500200
"Oct 2014-Sep 2015","Scotland","T01:22 (Aged 16-64 - All : All People )",3421500
"Jan 2015-Dec 2015","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",275900
"Jan 2015-Dec 2015","Glasgow City","T01:22 (Aged 16-64 - All : All People )",413300
"Jan 2015-Dec 2015","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2502400
"Jan 2015-Dec 2015","Scotland","T01:22 (Aged 16-64 - All : All People )",3424100
"Apr 2015-Mar 2016","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",271400
"Apr 2015-Mar 2016","Glasgow City","T01:22 (Aged 16-64 - All : All People )",415800
"Apr 2015-Mar 2016","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2497200
"Apr 2015-Mar 2016","Scotland","T01:22 (Aged 16-64 - All : All People )",3427200
"Jul 2015-Jun 2016","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",277000
"Jul 2015-Jun 2016","Glasgow City","T01:22 (Aged 16-64 - All : All People )",419800
"Jul 2015-Jun 2016","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2499600
"Jul 2015-Jun 2016","Scotland","T01:22 (Aged 16-64 - All : All People )",3430100
"Oct 2015-Sep 2016","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",276000
"Oct 2015-Sep 2016","Glasgow City","T01:22 (Aged 16-64 - All : All People )",422700
"Oct 2015-Sep 2016","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2499800
"Oct 2015-Sep 2016","Scotland","T01:22 (Aged 16-64 - All : All People )",3432500
"Jan 2016-Dec 2016","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",285500
"Jan 2016-Dec 2016","Glasgow City","T01:22 (Aged 16-64 - All : All People )",423300
"Jan 2016-Dec 2016","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2506900
"Jan 2016-Dec 2016","Scotland","T01:22 (Aged 16-64 - All : All People )",3435500
"Apr 2016-Mar 2017","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",286700
"Apr 2016-Mar 2017","Glasgow City","T01:22 (Aged 16-64 - All : All People )",425800
"Apr 2016-Mar 2017","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2522600
"Apr 2016-Mar 2017","Scotland","T01:22 (Aged 16-64 - All : All People )",3437300
"Jul 2016-Jun 2017","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",285700
"Jul 2016-Jun 2017","Glasgow City","T01:22 (Aged 16-64 - All : All People )",426600
"Jul 2016-Jun 2017","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2522700
"Jul 2016-Jun 2017","Scotland","T01:22 (Aged 16-64 - All : All People )",3437900
"Oct 2016-Sep 2017","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",279400
"Oct 2016-Sep 2017","Glasgow City","T01:22 (Aged 16-64 - All : All People )",429200
